"TERCİH KODU",İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,"YABANCIDİLİ","TABANPUAN","TABANYÜZDE","TAVANPUAN","TAVANYÜZDE"
39908,AYDIN,DİDİM,Zeynep-Mehmet Dönmez Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"220,9713","79,27","367,9521","16,22"
49674,AYDIN,KUŞADASI,Güvercinada Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"217,4372","81,72","366,1432","16,62"
49301,AYDIN,DİDİM,Zeynep-Mehmet Dönmez Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"215,3679","83,12","296,162","37,75"
65431,AYDIN,EFELER,Kadıköy Abdülhamid Han Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"205,2537","89,51","370,4923","15,66"
65009,BALIKESİR,ALTIEYLÜL,Altıeylül Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"445,9694","3,27","486,8538","0,19"
50663,BALIKESİR,KARESİ,Şehit Turgut Solak Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"445,8125","3,29","491,2108","0,1"
49680,BALIKESİR,BANDIRMA,Enerjisa Bandırma Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"432,3838","4,94","480,7075","0,43"
40142,BALIKESİR,EDREMİT,Şehit Mustafa Serin Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"426,4652","5,74","497,6649","0,02"
50237,BALIKESİR,KARESİ,İstanbulluoğlu Sosyal Bilimler Lisesi,Sosyal Bilimler Lisesi,,İngilizce,"378,4051",14,"415,9859","7,3"
49861,BALIKESİR,KARESİ,Fatma-Emin Kutvar Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"432,7631","4,89","437,3223","4,3"
49862,BALIKESİR,KARESİ,Fatma-Emin Kutvar Anadolu Lisesi,Anadolu Lisesi,,Almanca,"430,2665","5,22","432,6289","4,91"
49929,BALIKESİR,KARESİ,Rahmi Kula Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"417,3476","7,09","435,6806","4,51"
40041,BALIKESİR,BANDIRMA,Bandırma Yavuz Sultan Selim Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"406,6588","8,8","468,7697","1,14"
50712,BALIKESİR,ALTIEYLÜL,Gülser-Mehmet Bolluk Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"399,3228","10,05","421,0955","6,52"
50070,BALIKESİR,BURHANİYE,Celal Toraman Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"389,0414","11,9","464,6025","1,45"
50071,BALIKESİR,BURHANİYE,Celal Toraman Anadolu Lisesi,Anadolu Lisesi,,Almanca,"379,6992","13,74","411,6299","7,98"
48959,BALIKESİR,KARESİ,Balıkesir Lisesi,Anadolu Lisesi,,İngilizce,"374,5911","14,8","425,6628","5,85"
41099,BALIKESİR,EDREMİT,Edremit Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"360,2826","17,97","426,3833","5,75"
40828,BALIKESİR,GÖNEN,Gönen Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"359,4056","18,18","469,7207","1,07"
40868,BALIKESİR,AYVALIK,Ayvalık Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"346,1059","21,48","465,9274","1,35"
49012,BALIKESİR,SUSURLUK,Susurluk Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"310,5503","32,35","423,772","6,13"
49697,BALIKESİR,KARESİ,Sırrı Yırcalı Anadolu Lisesi,Hazırlık Sınıfı Bulunan Anadolu Lisesi,,İngilizce,"437,3263","4,3","491,4545","0,09"
40057,BALIKESİR,BANDIRMA,Ali Öztaylan Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"362,0636","17,55","422,2567","6,34"
40082,BALIKESİR,KARESİ,Şule Yüksel Şenler Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"340,0666","23,09","467,8399","1,21"
40835,BALIKESİR,BİGADİÇ,Bigadiç Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"301,1191","35,83","406,4593","8,83"
40974,BALIKESİR,GÖNEN,Gönen Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"296,6449","37,56","388,7966","11,95"
50306,BALIKESİR,EDREMİT,Edremit Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"294,9184","38,24","373,9889","14,92"
50452,BALIKESİR,KARESİ,Balıkesir Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"271,5996","48,63","381,7618","13,32"
65473,BALIKESİR,SINDIRGI,Sındırgı Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"253,1464","58,43","370,877","15,58"
40218,BALIKESİR,BURHANİYE,Burhaniye Hacı Mehmet Fevzi Köylü Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"247,5835","61,69","348,8522","20,76"
65472,BALIKESİR,BANDIRMA,Ali Öztaylan Anadolu İmam Hatip Lisesi,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"385,2058","12,65","480,281","0,44"
50198,BALIKESİR,KARESİ,Atatürk Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,SAĞLIK HİZMETLERİ ALANI,İngilizce,"351,1954","20,17","404,1889","9,22"
49345,BALIKESİR,KARESİ,Balıkesir Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"305,9394","34,02","373,546","15,02"
50115,BALIKESİR,ALTIEYLÜL,Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"289,6408","40,41","347,5783","21,09"
39978,BALIKESİR,BANDIRMA,Edincik Recep Gencer Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"280,4358","44,45","360,8448","17,84"
50656,BALIKESİR,ALTIEYLÜL,100. Yıl Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"279,4841","44,89","355,1763","19,2"
39810,BALIKESİR,ALTIEYLÜL,Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,İngilizce,"275,8224","46,62","340,8617","22,87"
49768,BALIKESİR,ALTIEYLÜL,Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,İngilizce,"263,8514","52,58","366,8942","16,45"
49939,BALIKESİR,BANDIRMA,Edincik Recep Gencer Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,KİMYA TEKNOLOJİSİ ALANI,İngilizce,"263,0545","52,99","360,2721","17,98"
40068,BALIKESİR,KARESİ,Balıkesir Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,GIDA TEKNOLOJİSİ ALANI,İngilizce,"260,1753","54,51","337,4152","23,82"
50184,BALIKESİR,GÖNEN,Gönen Ticaret Odası Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,İngilizce,"234,8209","69,79","346,7733","21,3"
72360,BALIKESİR,MANYAS,Salur Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,HAYVAN YETİŞTİRİCİLİĞİ VE SAĞLIĞI,İngilizce,"205,5449","89,34","279,584","44,84"
65456,BALIKESİR,İVRİNDİ,Nurettin Çarmıklı Madencilik Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MADEN TEKNOLOJİSİ ALANI,İngilizce,"191,8052","95,7","323,1548","28,12"
39722,BALIKESİR,KARESİ,Balıkesir Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MATBAA TEKNOLOJİSİ ALANI,İngilizce,"183,263","97,95","269,6527","49,6"
50363,BALIKESİR,ALTIEYLÜL,Organize Sanayi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI (SINAVLI),İngilizce,"250,6133","59,9","327,3214","26,79"
65434,BALIKESİR,KARESİ,Gazi Mustafa Kemal Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"246,6145","62,28","373,3706","15,05"
65433,BALIKESİR,KARESİ,Gazi Mustafa Kemal Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"233,7768","70,49","350,0647","20,44"
40829,BALIKESİR,SAVAŞTEPE,Savaştepe Meslekî ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,TARIM ALANI,İngilizce,"198,5274","93,01","339,7948","23,16"
39689,BALIKESİR,ALTIEYLÜL,Organize Sanayi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,ULAŞTIRMA HİZMETLERİ ALANI (SINAVLI),İngilizce,"186,4602","97,24","337,5975","23,77"
49456,BALIKESİR,AYVALIK,Cunda Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"183,3548","97,93","313,8043","31,22"
41068,BALIKESİR,BİGADİÇ,Bigadiç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"179,6783","98,56","305,6872","34,11"
50167,BALIKESİR,AYVALIK,Cunda Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"176,7806","98,94","351,1516","20,18"
40113,BARTIN,MERKEZ,Hasan Sabri Çavuşoğlu Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"433,8374","4,75","485,5101","0,25"
50587,BARTIN,MERKEZ,Fatih Sultan Mehmet Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"401,1853","9,73","432,6777","4,9"
40170,BARTIN,MERKEZ,Şehit Mustafa Yaman Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"362,3843","17,48","432,3326","4,95"
49876,BARTIN,MERKEZ,Fuat Sezgin Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"283,9913","42,86","357,951","18,53"
49679,BARTIN,AMASRA,Amasra Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"199,2204","92,69","284,4517","42,66"
49866,BARTIN,MERKEZ,Şerife Bacı Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,GRAFİK VE FOTOĞRAF ALANI (SINAVLI),İngilizce,"191,9533","95,64","350,9545","20,23"
49576,BARTIN,AMASRA,Amasra Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"175,6587","99,06","345,4814","21,64"
50152,BATMAN,MERKEZ,Batman Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"450,5583","2,77","493,4272","0,05"
49454,BATMAN,MERKEZ,Fatma Aliye Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"421,5464","6,45","450,0639","2,82"
65413,BATMAN,KOZLUK,Şehit Şenay Aybüke Yalçın Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"346,3047","21,43","428,0444","5,52"
40945,BATMAN,MERKEZ,Batman Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,"329,8014","26,04","384,1387","12,85"
50513,BATMAN,MERKEZ,Batman Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"418,4816","6,92","450,3975","2,78"
50004,BATMAN,MERKEZ,Türk Telekom Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"401,9015","9,6","418,3611","6,94"
50050,BATMAN,MERKEZ,Mevlana Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"386,9065","12,31","414,1331","7,59"
49678,BATMAN,MERKEZ,Abdülhamid Han Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"365,4627","16,78","407,9094","8,59"
49479,BATMAN,MERKEZ,TP Fatıma Zehra Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"340,9119","22,85","457,3113","2,1"
40181,BATMAN,MERKEZ,Batman Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"292,3548","39,29","377,6509","14,16"
49577,BATMAN,KOZLUK,Kozluk Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"250,4682","59,98","330,456","25,84"
49639,BATMAN,MERKEZ,Veysel Karani Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"221,0336","79,23","351,5874","20,07"
39905,BATMAN,MERKEZ,Ahmedi Hani Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"190,9149","95,99","385,9219","12,51"
41012,BATMAN,MERKEZ,Gazi Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"186,2614","97,29","284,8472","42,48"
50400,BATMAN,MERKEZ,Salih Günaydın Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"182,8473","98,02","366,1287","16,62"
72365,BATMAN,KOZLUK,Kozluk Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TARIM ALANI,İngilizce,"172,9702","99,32","295,1088","38,16"
40924,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"284,384","42,69","361,5146","17,68"
50620,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,BİLİŞİM TEKNOLOJİLERİ ALANI (SINAVLI),İngilizce,"275,4071","46,82","325,6295","27,33"
50056,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"259,1055","55,1","338,9489","23,39"
50068,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"238,9966","67,05","306,867","33,68"
49486,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,MOBİLYA VE İÇ MEKAN TASARIMI ALANI (SINAVLI),İngilizce,"237,8539","67,79","296,7395","37,52"
49249,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,METAL TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"226,7567","75,28","271,8577","48,51"
49538,BATMAN,MERKEZ,Batman Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KİMYA TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"225,182","76,36","356,7453","18,81"
49965,BAYBURT,MERKEZ,Bayburt Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"385,3919","12,61","481,0463","0,41"
50390,BAYBURT,MERKEZ,Bayburt Millî İrade Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"350,3383","20,38","385,0599","12,68"
49418,BAYBURT,MERKEZ,Bayburt Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"302,6676","35,24","361,391","17,71"
50112,BAYBURT,MERKEZ,Bayburt Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"294,205","38,53","349,9142","20,48"
39765,BAYBURT,MERKEZ,Bayburt Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"259,5269","54,87","335,6178","24,33"
50416,BAYBURT,MERKEZ,Bayburt Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,İngilizce,"236,7924","68,49","307,8886","33,3"
39976,BİLECİK,BOZÜYÜK,Bozüyük Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"428,1036","5,51","483,2713","0,3"
50106,BİLECİK,MERKEZ,Refik Arslan Öztürk Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"424,4035","6,04","495,0615","0,03"
49353,BİLECİK,MERKEZ,Ertuğrulgazi Lisesi,Anadolu Lisesi,,İngilizce,"370,6953","15,62","422,4228","6,32"
39891,BİLECİK,MERKEZ,Bilecik Şeyh Edebali Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"293,7475","38,71","363,0087","17,33"
50661,BİLECİK,MERKEZ,Bilecik Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"273,0469","47,94","392,1896","11,31"
40957,BİLECİK,BOZÜYÜK,Bozüyük Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"186,9053","97,14","346,3234","21,42"
49277,BİLECİK,MERKEZ,Bilecik Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"278,9368","45,14","363,9163","17,12"
40067,BİLECİK,MERKEZ,Bilecik Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,İngilizce,"271,5938","48,63","361,2338","17,75"
50471,BİLECİK,BOZÜYÜK,Bozüyük Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"196,6629","93,83","314,1774","31,09"
50525,BİLECİK,BOZÜYÜK,Bozüyük Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,İngilizce,"171,8036","99,41","262,8806","53,08"
49396,BİLECİK,BOZÜYÜK,Bozüyük Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,"140,5496",100,"328,1128","26,55"
49949,BİNGÖL,MERKEZ,Türkiye Büyük Millet Meclisi Vakfı Bingöl Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"440,8251","3,88","486,2724","0,22"
65416,BİNGÖL,GENÇ,Genç Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"371,3367","15,48","435,2653","4,57"
50463,BİNGÖL,MERKEZ,Karşıyaka Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"411,4479",8,"439,8459",4
50619,BİNGÖL,MERKEZ,Yunus Emre Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"364,8198","16,92","411,3796","8,02"
50832,BİNGÖL,SOLHAN,Sabiha Bahçıvan Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"309,2782","32,8","430,0355","5,25"
49565,BİNGÖL,MERKEZ,15 Temmuz Milli İrade Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"363,8988","17,13","477,9459","0,55"
50079,BİNGÖL,MERKEZ,Cumhuriyet Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"353,9456","19,49","433,0074","4,86"
65474,BİNGÖL,GENÇ,Genç Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"324,6648","27,64","363,748","17,16"
40975,BİNGÖL,SOLHAN,Solhan Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"255,1707","57,28","408,6768","8,46"
50441,BİNGÖL,MERKEZ,Bingöl Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"299,8612","36,31","347,9754","20,99"
40873,BİNGÖL,MERKEZ,60. Yıl Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,SAĞLIK HİZMETLERİ ALANI (SINAVLI),İngilizce,"351,134","20,18","405,8544","8,94"
50097,BİTLİS,MERKEZ,Hikmet Kiler Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"416,9573","7,15","478,5768","0,52"
49554,BİTLİS,TATVAN,Tatvan Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"407,7208","8,62","456,7459","2,15"
40116,BİTLİS,TATVAN,Sadullah Gencer Sosyal Bilimler Lisesi,Sosyal Bilimler Lisesi,,İngilizce,"347,7348","21,05","388,8289","11,94"
40926,BİTLİS,TATVAN,Sadullah Gencer Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,"362,7124","17,4","395,3117","10,75"
40154,BİTLİS,MERKEZ,Nurullah Eren Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"395,7422","10,67","464,5807","1,46"
49323,BİTLİS,AHLAT,Ahlat Selçuklu Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"329,6366","26,09","395,3705","10,74"
50406,BİTLİS,MERKEZ,Hatuniye Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"312,0547","31,82","389,9941","11,72"
49972,BİTLİS,MERKEZ,Bitlis Said Nursi Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"283,6692",43,"383,4897","12,99"
49762,BİTLİS,TATVAN,Tatvan Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"271,732","48,57","390,6005","11,6"
65554,BİTLİS,AHLAT,Ahlat Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TARIM ALANI,İngilizce,"208,6244","87,5","344,8307","21,81"
50141,BİTLİS,TATVAN,Tatvan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,İNŞAAT TEKNOLOJİSİ ALANI,İngilizce,"196,1242","94,06","253,6954","58,11"
50544,BİTLİS,TATVAN,Tatvan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"181,5968","98,25","276,0676","46,5"
39871,BİTLİS,MERKEZ,Bitlis Cemil Özgür Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,BİLİŞİM TEKNOLOJİLERİ ALANI (SINAVLI),İngilizce,"286,0233","41,97","375,1146","14,69"
50029,BİTLİS,MERKEZ,Bitlis Cemil Özgür Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KİMYA TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"268,116","50,37","331,1345","25,63"
39714,BOLU,MERKEZ,Bolu Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"441,5968","3,78","488,4887","0,14"
49337,BOLU,GEREDE,Gerede Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"359,4102","18,18","431,0191","5,12"
40946,BOLU,MERKEZ,Bolu Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,"372,146","15,31","423,1888","6,21"
39974,BOLU,MERKEZ,İzzet Baysal Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"408,584","8,47","441,5709","3,78"
40976,BOLU,GEREDE,Gerede Habibullah Üstün Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"274,2073","47,38","356,1068","18,97"
49597,BOLU,MERKEZ,Ankara Altındağ Belediyesi Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"261,972","53,54","415,2771","7,41"
65475,BOLU,GEREDE,Gerede Eyüp Özdemir Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"239,6539","66,63","347,0203","21,24"
39672,BOLU,MERKEZ,Bolu Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"225,0214","76,47","357,9391","18,53"
